492,373
645,318
246,257
884,172
520,135
365,180
250,377
811,82
103,306
113,190
220,162
755,237
846,264
305,125
230,325
174,158
45,153
405,138
470,140
167,318
748,304
55,50
689,257
705,187
789,167
247,188
601,366
645,113
700,139
932,310
540,425
244,323
455,385
175,102
71,268
875,117
412,86
500,260
88,50
432,235
220,120
346,315
220,212
648,280
84,256
580,334
780,341
127,352
809,244
460,270
460,310
618,109
750,100
245,120
540,90
838,295
478,45
575,190
100,100
555,155
708,104
710,227
675,358
187,260
910,252
465,190
315,80
425,285
735,150
384,364
400,188
795,304
865,320
343,68
858,84
931,155
190,128
356,98
590,390
543,368
280,120
